,time,HRF
2255,2.255,0.1508877050971924
2256,2.2560000000000002,0.1509807691092487
2257,2.257,0.15107374605072266
2258,2.258,0.15116663581977802
2259,2.259,0.15125943831484612
2260,2.2600000000000002,0.15135215343460648
2261,2.261,0.15144478107803316
2262,2.262,0.151537321144313
2263,2.263,0.15162977353293183
2264,2.2640000000000002,0.1517221381435939
2265,2.265,0.15181441487631198
2266,2.266,0.15190660363132785
2267,2.267,0.1519987043091296
2268,2.2680000000000002,0.15209071681052674
2269,2.269,0.15218264103652268
2270,2.27,0.15227447688839574
2271,2.271,0.15236622426769833
2272,2.2720000000000002,0.15245788307624233
2273,2.273,0.15254945321611485
2274,2.274,0.15264093458960157
2275,2.275,0.1527323270993155
2276,2.2760000000000002,0.1528236306480858
2277,2.277,0.15291484513904147
2278,2.278,0.15300597047553313
2279,2.279,0.1530970065611701
2280,2.2800000000000002,0.15318795329984458
2281,2.281,0.15327881059571524
2282,2.282,0.1533695783531832
2283,2.283,0.15346025647690564
2284,2.2840000000000003,0.1535508448717861
2285,2.285,0.1536413434430509
2286,2.286,0.15373175209608472
2287,2.287,0.15382207073664672
2288,2.2880000000000003,0.1539122992706752
2289,2.289,0.1540024376043456
2290,2.29,0.15409248564420736
2291,2.291,0.1541824432969684
2292,2.2920000000000003,0.15427231046961348
2293,2.293,0.15436208706942922
2294,2.294,0.15445177300389715
2295,2.295,0.154541368180828
2296,2.2960000000000003,0.15463087250824198
2297,2.297,0.1547202858944234
2298,2.298,0.1548096082479325
2299,2.299,0.15489883947760127
2300,2.3000000000000003,0.1549879794924787
2301,2.301,0.15507702820191546
2302,2.302,0.15516598551547958
2303,2.303,0.15525485134303446
2304,2.3040000000000003,0.15534362559468573
2305,2.305,0.15543230818080053
2306,2.306,0.15552089901199384
2307,2.307,0.15560939799917337
2308,2.308,0.1556978050534691
2309,2.309,0.1557861200863008
2310,2.31,0.15587434300930117
2311,2.311,0.15596247373442287
2312,2.312,0.1560505121738094
2313,2.313,0.15613845823992115
2314,2.314,0.15622631184545951
2315,2.315,0.1563140729033655
2316,2.316,0.1564017413268677
2317,2.317,0.15648931702942867
2318,2.318,0.1565767999247837
2319,2.319,0.1566641899268937
2320,2.32,0.15675148695005062
2321,2.321,0.1568386909087308
2322,2.322,0.15692580171772094
2323,2.323,0.15701281929202612
2324,2.324,0.15709974354693382
2325,2.325,0.15718657439796213
2326,2.326,0.1572733117609429
2327,2.327,0.15735995555191626
2328,2.328,0.15744650568716287
2329,2.329,0.15753296208331313
2330,2.33,0.15761932465714254
2331,2.331,0.1577055933257792
2332,2.332,0.15779176800653608
2333,2.333,0.15787784861704648
2334,2.334,0.1579638350751043
2335,2.335,0.158049727298916
2336,2.336,0.1581355252067782
2337,2.337,0.15822122871738897
2338,2.338,0.15830683774959375
2339,2.339,0.15839235222254552
2340,2.34,0.15847777205564287
2341,2.341,0.15856309716857186
2342,2.342,0.15864832748122865
2343,2.343,0.15873346291380797
2344,2.344,0.15881850338673073
2345,2.345,0.15890344882066923
2346,2.346,0.15898829913660376
2347,2.347,0.1590730542557224
2348,2.348,0.15915771409947577
2349,2.349,0.15924227858958007
2350,2.35,0.15932674764802782
2351,2.351,0.15941112119704237
2352,2.352,0.15949539915910801
2353,2.353,0.15957958145694878
2354,2.354,0.15966366801360052
2355,2.355,0.15974765875229588
2356,2.356,0.15983155359653375
2357,2.357,0.15991535247012226
2358,2.358,0.15999905529705782
2359,2.359,0.16008266200162788
2360,2.36,0.16016617250835183
2361,2.361,0.16024958674204706
2362,2.362,0.1603329046277267
2363,2.363,0.16041612609074166
2364,2.364,0.1604992510566117
2365,2.365,0.16058227945117054
2366,2.366,0.16066521120050847
2367,2.367,0.16074804623087954
2368,2.368,0.16083078446893115
2369,2.369,0.16091342584146817
2370,2.37,0.1609959702756052
2371,2.371,0.16107841769867584
2372,2.372,0.16116076803827048
2373,2.373,0.16124302122226392
2374,2.374,0.16132517717874667
2375,2.375,0.16140723583611022
2376,2.376,0.16148919712295542
2377,2.3770000000000002,0.1615710609681463
2378,2.378,0.16165282730084418
2379,2.379,0.1617344960504079
2380,2.38,0.16181606714647512
2381,2.3810000000000002,0.1618975405189656
2382,2.382,0.16197891609799592
2383,2.383,0.16206019381397213
2384,2.384,0.16214137359756195
2385,2.3850000000000002,0.1622224553796454
2386,2.386,0.16230343909142525
2387,2.387,0.16238432466429364
2388,2.388,0.16246511202990266
2389,2.3890000000000002,0.16254580112020808
2390,2.39,0.162626391867342
2391,2.391,0.1627068842038004
2392,2.392,0.1627872780622154
2393,2.3930000000000002,0.1628675733755324
2394,2.394,0.1629477700769382
2395,2.395,0.16302786809987435
2396,2.396,0.16310786737804112
2397,2.3970000000000002,0.16318776784538613
2398,2.398,0.16326756943610635
2399,2.399,0.16334727208464225
2400,2.4,0.1634268757257156
2401,2.4010000000000002,0.16350638029428616
2402,2.402,0.16358578572555008
2403,2.403,0.16366509195496165
2404,2.404,0.16374429891824385
2405,2.4050000000000002,0.16382340655135608
2406,2.406,0.1639024147905228
2407,2.407,0.16398132357223913
2408,2.408,0.1640601328331636
2409,2.4090000000000003,0.16413884251033004
2410,2.41,0.16421745254090644
2411,2.411,0.16429596286239384
2412,2.412,0.1643743734125117
2413,2.4130000000000003,0.1644526841292626
2414,2.414,0.16453089495083814
2415,2.415,0.16460900581572482
2416,2.416,0.1646870166626763
2417,2.4170000000000003,0.16476492743064178
2418,2.418,0.1648427380588442
2419,2.419,0.1649204484868059
2420,2.42,0.1649980586542176
2421,2.4210000000000003,0.1650755685010798
2422,2.422,0.16515297796762132
2423,2.423,0.16523028699432632
2424,2.424,0.1653074955219278
2425,2.4250000000000003,0.16538460349138467
2426,2.426,0.16546161084394254
2427,2.427,0.16553851752107757
2428,2.428,0.16561532346451582
2429,2.4290000000000003,0.16569202861625493
2430,2.43,0.16576863291847724
2431,2.431,0.1658451363137123
2432,2.432,0.16592153874466772
2433,2.433,0.1659978401542709
2434,2.434,0.16607404048581784
2435,2.435,0.16615013968274878
2436,2.436,0.1662261376887644
2437,2.437,0.16630203444785605
2438,2.438,0.1663778299042199
2439,2.439,0.16645352400233393
2440,2.44,0.16652911668689904
